X1,Y1,X2,Y2,Area,long,lat
297,395,343,519,5704,24.92086,67.143323
839,315,870,404,2759,24.920899,67.143506
1223,284,1256,361,2541,24.920841,67.143605
871,270,896,334,1600,24.920933,67.143584
421,294,450,367,2117,24.921013,67.143442
853,393,893,517,4960,24.920807,67.143333
1156,235,1174,280,810,24.920981,67.143761
992,229,1009,269,680,24.921052,67.143737
775,241,792,294,901,24.921042,67.143622
575,264,594,318,1026,24.92104,67.143523
224,318,258,403,2890,24.921001,67.143343
1066,295,1099,374,2607,24.920852,67.143563
806,273,833,341,1836,24.920942,67.143555
1097,236,1117,274,760,24.921,67.143724
870,274,897,343,1863,24.920927,67.143555
215,409,264,535,6174,24.920873,67.143292
270,548,342,689,10152,24.920829,67.143271
358,536,429,682,10366,24.920827,67.143284
